Date,State,Positive,Negative,Hospitalized – Currently,Recovered,Deaths,Negative Antibody Tests,Total Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Deaths (confirmed),Total PCR Tests (People)
20200310,ID,,,,,,,=sum(C8333:D8333),,,,
20200310,NJ,,,,,,,,,,,=sum(C8350:D8350)
20200309,AK,,,,,,,=sum(C8370:D8370),,,,
20200309,AL,,,,,,,,,,,=sum(C8371:D8371)
20200309,AR,,,,,,,,,,,=sum(C8372:D8372)
20200309,AZ,,,,,,,=sum(C8373:D8373),,,,
20200309,CA,,,,,,,=sum(C8374:D8374),,,,
20200309,CO,,=round(266/2),,,,,,,,,
20200309,DC,,,,,,,,,,,=sum(C8377:D8377)
20200309,GA,,,,,,,=sum(C8380:D8380),,,,
20200309,ID,,,,,,,=sum(C8383:D8383),,,,
20200309,NJ,,,,,,,,,,,=sum(C8400:D8400)
20200308,AK,,,,,,,=sum(C8420:D8420),,,,
20200308,AL,,,,,,,,,,,=sum(C8421:D8421)
20200308,AR,,,,,,,,,,,=sum(C8422:D8422)
20200308,AZ,,,,,,,=sum(C8423:D8423),,,,
20200308,CA,,,,,,,=sum(C8424:D8424),,,,
20200308,CO,,=round(208/2),,,,,,,,,
20200308,DC,,,,,,,,,,,=sum(C8427:D8427)
20200308,GA,,,,,,,=sum(C8430:D8430),,,,
20200308,ID,,,,,,,=sum(C8433:D8433),,,,
20200308,NJ,,,,,,,,,,,=sum(C8450:D8450)
20200307,AK,,,,,,,=sum(C8470:D8470),,,,
20200307,AL,,,,,,,,,,,=sum(C8471:D8471)
20200307,AR,,,,,,,,,,,=sum(C8472:D8472)
20200307,AZ,,,,,,,=sum(C8473:D8473),,,,
20200307,CA,,,,,,,=sum(C8474:D8474),,,,
20200307,CO,,=round(109/2),,,,,,,,,
20200307,DC,,,,,,,,,,,=sum(C8477:D8477)
20200307,GA,,,,,,,=sum(C8480:D8480),,,,
20200307,ID,,,,,,,=sum(C8483:D8483),,,,
20200307,NJ,,,,,,,,,,,=sum(C8500:D8500)
20200306,AK,,,,,,,=sum(C8520:D8520),,,,
20200306,AR,,,,,,,,,,,=sum(C8521:D8521)
20200306,AZ,,,,,,,=sum(C8522:D8522),,,,
20200306,CA,,,,,,,=sum(C8523:D8523),,,,
20200306,CO,,=round(92/2),,,,,,,,,
20200306,DC,,,,,,,,,,,=sum(C8525:D8525)
20200306,GA,,,,,,,=sum(C8528:D8528),,,,
20200306,NJ,,,,,,,,,,,=sum(C8540:D8540)
20200305,AZ,,,,,,,=sum(C8556:D8556),,,,
20200305,CA,,,,,,,=sum(C8557:D8557),,,,
20200305,CO,,=round(37/2),,,,,,,,,
20200305,DC,,,,,,,,,,,=sum(C8559:D8559)
20200305,GA,,,,,,,=sum(C8561:D8561),,,,
20200305,NJ,,,,,,,,,,,=sum(C8568:D8568)
20200304,AZ,,,,,,,=sum(C8580:D8580),,,,
20200304,CA,,,,,,,=sum(C8581:D8581),,,,
20200304,GA,,,,,,,=sum(C8583:D8583),,,,
