Day of displaydateonly,Totals,,,,Day of displaydateonly,Totals,,suggestion,,,,Day of displaydateonly,Totals,Day of displaydateonly,Totals,,,"2020102816,",2020-10-27,3160380
2020-03-04,12,,,,2020-03-12,172,,2020-03-12,172,,,2020-03-11,102,2020-07-03,1507540,,,,,
2020-03-03,7,,,,2020-03-11,101,,2020-03-11,101,,,2020-03-10,56,2020-07-02,1489728,,,,,
2020-03-02,7,,,,2020-03-10,57,,2020-03-10,57,,,2020-03-09,38,2020-07-02,1472565,,,,,
,,,,,2020-03-09,38,,2020-03-09,38,,,2020-03-08,29,2020-07-01,1455402,,,,,
,,,,,2020-03-08,29,,2020-03-08,29,,,2020-03-07,29,2020-07-01,1439328,,,,,
,,,,,2020-03-07,29,,2020-03-07,29,,,2020-03-06,29,2020-06-30,1423254,,,,,
,,,,,2020-03-06,29,,2020-03-06,29,,,2020-03-05,22,2020-06-30,1409516,,,,,
,,,,,2020-03-05,22,,2020-03-05,22,,,2020-03-04,13,2020-06-29,1395778,,,,,
,,,,,2020-03-04,12,,2020-03-04,12,,,2020-03-03,8,2020-06-29,1385019,,,,,
,,,,,2020-03-03,7,,2020-03-03,7,,,2020-03-02,8,2020-06-28,1374260,,,,,
,,,,,2020-03-02,7,,2020-03-02,7,,,,,2020-06-28,1361047,,,,,
,,,,,,,,,,,,,,2020-06-27,1347834,,,,,
,,,,,,,,,,,,,,2020-06-27,1334913,,,,,
,,,,,,,,,,,,,,2020-06-26,1321992,,,,,
,,,,,,,,,,,,,,2020-06-26,1307274,,,,,
,,,,,,,,,,,,,,2020-06-25,1292556,,,,,
,,,,,,,,,,,,,,2020-06-25,1279354,,,,,
,,,,,,,,,,,,,,2020-06-24,1266152,,,,,
,,,,,,,,,,,,,,2020-06-24,1249001,,,,,
,,,,,,,,,,,,,,2020-06-23,1231850,,,,,
,,,,,,,,,,,,,,2020-06-23,1219262,,,,,
,,,,,,,,,,,,,,2020-06-22,1198045,,,,,
,,,,,,,,,,,,,,2020-06-22,1206674,,,,,
,,,,,,,,,,,,,,2020-06-21,1189416,,,,,
,,,,,,,,,,,,,,2020-06-21,1180572,,,,,
,,,,,,,,,,,,,,2020-06-20,1171728,,,,,
,,,,,,,,,,,,,,2020-06-20,1160801,,,,,
,,,,,,,,,,,,,,2020-06-19,1149874,,,,,
,,,,,,,,,,,,,,2020-06-19,1136207,,,,,
,,,,,,,,,,,,,,2020-06-18,1122540,,,,,
,,,,,,,,,,,,,,2020-06-18,1108553,,,,,
,,,,,,,,,,,,,,2020-06-17,1094566,,,,,
,,,,,,,,,,,,,,2020-06-17,1080373,,,,,
,,,,,,,,,,,,,,2020-06-16,1066180,,,,,
,,,,,,,,,,,,,,2020-06-16,1054520,,,,,
,,,,,,,,,,,,,,2020-06-15,1042860,,,,,
,,,,,,,,,,,,,,2020-06-15,1035279,,,,,
,,,,,,,,,,,,,,2020-06-14,1018895,,,,,
,,,,,,,,,,,,,,2020-06-14,1027698,,,,,
,,,,,,,,,,,,,,2020-06-13,1010092,,,,,
,,,,,,,,,,,,,,2020-06-13,1000092,,,,,
,,,,,,,,,,,,,,2020-06-12,990092,,,,,
,,,,,,,,,,,,,,2020-06-12,976653,,,,,
,,,,,,,,,,,,,,2020-06-11,963214,,,,,
,,,,,,,,,,,,,,2020-06-11,950244,,,,,
,,,,,,,,,,,,,,2020-06-10,937274,,,,,
,,,,,,,,,,,,,,2020-06-10,922907,,,,,
,,,,,,,,,,,,,,2020-06-09,908540,,,,,
,,,,,,,,,,,,,,2020-06-09,896701,,,,,
,,,,,,,,,,,,,,2020-06-08,876778,,,,,
,,,,,,,,,,,,,,2020-06-08,884862,,,,,
,,,,,,,,,,,,,,2020-06-07,860317,,,,,
,,,,,,,,,,,,,,2020-06-07,868694,,,,,
,,,,,,,,,,,,,,2020-06-06,851940,,,,,
,,,,,,,,,,,,,,2020-06-06,841839,,,,,
,,,,,,,,,,,,,,2020-06-05,831738,,,,,
,,,,,,,,,,,,,,2020-06-05,819536,,,,,
,,,,,,,,,,,,,,2020-06-04,807334,,,,,
,,,,,,,,,,,,,,2020-06-04,793788,,,,,
,,,,,,,,,,,,,,2020-06-03,780242,,,,,
,,,,,,,,,,,,,,2020-06-03,766909,,,,,
,,,,,,,,,,,,,,2020-06-02,753576,,,,,
,,,,,,,,,,,,,,2020-06-02,742318,,,,,
,,,,,,,,,,,,,,2020-06-01,731060,,,,,
,,,,,,,,,,,,,,2020-06-01,719114,,,,,
,,,,,,,,,,,,,,2020-05-31,707168,,,,,
,,,,,,,,,,,,,,2020-05-31,695723,,,,,
,,,,,,,,,,,,,,2020-05-30,672852,,,,,
,,,,,,,,,,,,,,2020-05-30,684278,,,,,
,,,,,,,,,,,,,,2020-05-29,661426,,,,,
,,,,,,,,,,,,,,2020-05-29,649130,,,,,
,,,,,,,,,,,,,,2020-05-28,636834,,,,,
,,,,,,,,,,,,,,2020-05-28,624750,,,,,
,,,,,,,,,,,,,,2020-05-27,612666,,,,,
,,,,,,,,,,,,,,2020-05-27,600074,,,,,
,,,,,,,,,,,,,,2020-05-26,587482,,,,,
,,,,,,,,,,,,,,2020-05-26,573856,,,,,
,,,,,,,,,,,,,,2020-05-25,560230,,,,,
,,,,,,,,,,,,,,2020-05-25,550257,,,,,
,,,,,,,,,,,,,,2020-05-24,528629,,,,,
,,,,,,,,,,,,,,2020-05-24,540284,,,,,
,,,,,,,,,,,,,,2020-05-23,505469,,,,,
,,,,,,,,,,,,,,2020-05-23,516974,,,,,
,,,,,,,,,,,,,,2020-05-22,493964,,,,,
,,,,,,,,,,,,,,2020-05-22,482950,,,,,
,,,,,,,,,,,,,,2020-05-21,471936,,,,,
,,,,,,,,,,,,,,2020-05-21,460415,,,,,
,,,,,,,,,,,,,,2020-05-20,448894,,,,,
,,,,,,,,,,,,,,2020-05-20,435212,,,,,
,,,,,,,,,,,,,,2020-05-19,421530,,,,,
,,,,,,,,,,,,,,2020-05-19,409625,,,,,
,,,,,,,,,,,,,,2020-05-18,397720,,,,,
,,,,,,,,,,,,,,2020-05-18,389669,,,,,
,,,,,,,,,,,,,,2020-05-17,381618,,,,,
,,,,,,,,,,,,,,2020-05-17,375241,,,,,
,,,,,,,,,,,,,,2020-05-16,361046,,,,,
,,,,,,,,,,,,,,2020-05-16,368864,,,,,
,,,,,,,,,,,,,,2020-05-15,353228,,,,,
,,,,,,,,,,,,,,2020-05-15,343271,,,,,
,,,,,,,,,,,,,,2020-05-14,333314,,,,,
,,,,,,,,,,,,,,2020-05-14,324599,,,,,
,,,,,,,,,,,,,,2020-05-13,315884,,,,,
,,,,,,,,,,,,,,2020-05-13,307526,,,,,
,,,,,,,,,,,,,,2020-05-12,299168,,,,,
,,,,,,,,,,,,,,2020-05-12,292408,,,,,
,,,,,,,,,,,,,,2020-05-11,285648,,,,,
,,,,,,,,,,,,,,2020-05-11,280669,,,,,
,,,,,,,,,,,,,,2020-05-10,270998,,,,,
,,,,,,,,,,,,,,2020-05-10,275690,,,,,
,,,,,,,,,,,,,,2020-05-09,260697,,,,,
,,,,,,,,,,,,,,2020-05-09,266306,,,,,
,,,,,,,,,,,,,,2020-05-08,255088,,,,,
,,,,,,,,,,,,,,2020-05-08,249283,,,,,
,,,,,,,,,,,,,,2020-05-07,243478,,,,,
,,,,,,,,,,,,,,2020-05-07,237838,,,,,
,,,,,,,,,,,,,,2020-05-06,232198,,,,,
,,,,,,,,,,,,,,2020-05-06,225837,,,,,
,,,,,,,,,,,,,,2020-05-05,219476,,,,,
,,,,,,,,,,,,,,2020-05-05,214208,,,,,
,,,,,,,,,,,,,,2020-05-04,208940,,,,,
,,,,,,,,,,,,,,2020-05-04,205036,,,,,
,,,,,,,,,,,,,,2020-05-03,201132,,,,,
,,,,,,,,,,,,,,2020-05-03,197628,,,,,
,,,,,,,,,,,,,,2020-05-02,194124,,,,,
,,,,,,,,,,,,,,2020-05-02,189856,,,,,
,,,,,,,,,,,,,,2020-05-01,185588,,,,,
,,,,,,,,,,,,,,2020-05-01,181456,,,,,
,,,,,,,,,,,,,,2020-04-30,173545,,,,,
,,,,,,,,,,,,,,2020-04-30,177324,,,,,
,,,,,,,,,,,,,,2020-04-29,169766,,,,,
,,,,,,,,,,,,,,2020-04-29,165511,,,,,
,,,,,,,,,,,,,,2020-04-28,161256,,,,,
,,,,,,,,,,,,,,2020-04-28,157579,,,,,
,,,,,,,,,,,,,,2020-04-27,153902,,,,,
,,,,,,,,,,,,,,2020-04-27,150804,,,,,
,,,,,,,,,,,,,,2020-04-26,147706,,,,,
,,,,,,,,,,,,,,2020-04-26,145452,,,,,
,,,,,,,,,,,,,,2020-04-25,143198,,,,,
,,,,,,,,,,,,,,2020-04-25,140339,,,,,
,,,,,,,,,,,,,,2020-04-24,134518,,,,,
,,,,,,,,,,,,,,2020-04-24,137480,,,,,
,,,,,,,,,,,,,,2020-04-23,128761,,,,,
,,,,,,,,,,,,,,2020-04-23,131556,,,,,
,,,,,,,,,,,,,,2020-04-22,125966,,,,,
,,,,,,,,,,,,,,2020-04-22,123076,,,,,
,,,,,,,,,,,,,,2020-04-21,120186,,,,,
,,,,,,,,,,,,,,2020-04-21,117505,,,,,
,,,,,,,,,,,,,,2020-04-20,114824,,,,,
,,,,,,,,,,,,,,2020-04-20,112803,,,,,
,,,,,,,,,,,,,,2020-04-19,110782,,,,,
,,,,,,,,,,,,,,2020-04-19,109461,,,,,
,,,,,,,,,,,,,,2020-04-18,108140,,,,,
,,,,,,,,,,,,,,2020-04-18,106155,,,,,
,,,,,,,,,,,,,,2020-04-17,104170,,,,,
,,,,,,,,,,,,,,2020-04-17,102048,,,,,
,,,,,,,,,,,,,,2020-04-16,97964,,,,,
,,,,,,,,,,,,,,2020-04-16,99926,,,,,
,,,,,,,,,,,,,,2020-04-15,96002,,,,,
,,,,,,,,,,,,,,2020-04-15,94231,,,,,
,,,,,,,,,,,,,,2020-04-14,92460,,,,,
,,,,,,,,,,,,,,2020-04-14,90712,,,,,
,,,,,,,,,,,,,,2020-04-13,88964,,,,,
,,,,,,,,,,,,,,2020-04-13,87588,,,,,
,,,,,,,,,,,,,,2020-04-12,86212,,,,,
,,,,,,,,,,,,,,2020-04-12,85105,,,,,
,,,,,,,,,,,,,,2020-04-11,83998,,,,,
,,,,,,,,,,,,,,2020-04-11,82476,,,,,
,,,,,,,,,,,,,,2020-04-10,79172,,,,,
,,,,,,,,,,,,,,2020-04-10,80954,,,,,
,,,,,,,,,,,,,,2020-04-09,75393,,,,,
,,,,,,,,,,,,,,2020-04-09,77390,,,,,
,,,,,,,,,,,,,,2020-04-08,73396,,,,,
,,,,,,,,,,,,,,2020-04-08,71523,,,,,
,,,,,,,,,,,,,,2020-04-07,69650,,,,,
,,,,,,,,,,,,,,2020-04-07,67875,,,,,
,,,,,,,,,,,,,,2020-04-06,66100,,,,,
,,,,,,,,,,,,,,2020-04-06,64670,,,,,
,,,,,,,,,,,,,,2020-04-05,63240,,,,,
,,,,,,,,,,,,,,2020-04-05,61648,,,,,
,,,,,,,,,,,,,,2020-04-04,60056,,,,,
,,,,,,,,,,,,,,2020-04-04,58234,,,,,
,,,,,,,,,,,,,,2020-04-03,56412,,,,,
,,,,,,,,,,,,,,2020-04-03,54250,,,,,
,,,,,,,,,,,,,,2020-04-02,52088,,,,,
,,,,,,,,,,,,,,2020-04-02,50183,,,,,
,,,,,,,,,,,,,,2020-04-01,46588,,,,,
,,,,,,,,,,,,,,2020-04-01,48278,,,,,
,,,,,,,,,,,,,,2020-03-31,44898,,,,,
,,,,,,,,,,,,,,2020-03-31,42828,,,,,
,,,,,,,,,,,,,,2020-03-30,40758,,,,,
,,,,,,,,,,,,,,2020-03-30,39367,,,,,
,,,,,,,,,,,,,,2020-03-29,37976,,,,,
,,,,,,,,,,,,,,2020-03-29,36700,,,,,
,,,,,,,,,,,,,,2020-03-28,35424,,,,,
,,,,,,,,,,,,,,2020-03-28,34096,,,,,
,,,,,,,,,,,,,,2020-03-27,32768,,,,,
,,,,,,,,,,,,,,2020-03-27,31065,,,,,
,,,,,,,,,,,,,,2020-03-26,27546,,,,,
,,,,,,,,,,,,,,2020-03-26,29362,,,,,
,,,,,,,,,,,,,,2020-03-25,24130,,,,,
,,,,,,,,,,,,,,2020-03-25,25730,,,,,
,,,,,,,,,,,,,,2020-03-24,22530,,,,,
,,,,,,,,,,,,,,2020-03-24,20871,,,,,
,,,,,,,,,,,,,,2020-03-23,19212,,,,,
,,,,,,,,,,,,,,2020-03-23,17954,,,,,
,,,,,,,,,,,,,,2020-03-22,16696,,,,,
,,,,,,,,,,,,,,2020-03-22,15709,,,,,
,,,,,,,,,,,,,,2020-03-21,14722,,,,,
,,,,,,,,,,,,,,2020-03-21,13404,,,,,
,,,,,,,,,,,,,,2020-03-20,12086,,,,,
,,,,,,,,,,,,,,2020-03-20,10489,,,,,
,,,,,,,,,,,,,,2020-03-19,8892,,,,,
,,,,,,,,,,,,,,2020-03-19,7630,,,,,
,,,,,,,,,,,,,,2020-03-18,5313,,,,,
,,,,,,,,,,,,,,2020-03-18,6368,,,,,
,,,,,,,,,,,,,,2020-03-17,4258,,,,,
,,,,,,,,,,,,,,2020-03-17,3454,,,,,
,,,,,,,,,,,,,,2020-03-16,2650,,,,,
,,,,,,,,,,,,,,2020-03-16,2270,,,,,
,,,,,,,,,,,,,,2020-03-15,1890,,,,,
,,,,,,,,,,,,,,2020-03-15,1518,,,,,
,,,,,,,,,,,,,,2020-03-14,1146,,,,,
,,,,,,,,,,,,,,2020-03-14,875,,,,,
,,,,,,,,,,,,,,2020-03-13,604,,,,,
,,,,,,,,,,,,,,2020-03-13,476,,,,,
,,,,,,,,,,,,,,2020-03-12,278,,,,,
,,,,,,,,,,,,,,2020-03-12,348,,,,,
,,,,,,,,,,,,,,2020-03-11,161,,,,,
,,,,,,,,,,,,,,2020-03-11,208,,,,,
,,,,,,,,,,,,,,2020-03-10,114,,,,,
,,,,,,,,,,,,,,2020-03-10,96,,,,,
,,,,,,,,,,,,,,2020-03-09,78,,,,,
,,,,,,,,,,,,,,2020-03-09,69,,,,,
,,,,,,,,,,,,,,2020-03-08,60,,,,,
,,,,,,,,,,,,,,2020-03-08,60,,,,,
,,,,,,,,,,,,,,2020-03-07,60,,,,,
,,,,,,,,,,,,,,2020-03-07,60,,,,,
,,,,,,,,,,,,,,2020-03-06,53,,,,,
,,,,,,,,,,,,,,2020-03-06,60,,,,,
,,,,,,,,,,,,,,2020-03-05,36,,,,,
,,,,,,,,,,,,,,2020-03-05,46,,,,,
,,,,,,,,,,,,,,2020-03-04,21,,,,,
,,,,,,,,,,,,,,2020-03-04,26,,,,,
,,,,,,,,,,,,,,2020-03-03,16,,,,,
,,,,,,,,,,,,,,2020-03-03,16,,,,,
,,,,,,,,,,,,,,2020-03-02,16,,,,,
,,,,,,,,,,,,,,2020-03-02,8,,,,,
