Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",2
"April 8, 2020",4
"April 8, 2020",1
"April 8, 2020",1
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",1
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",4
"April 8, 2020",6
"April 8, 2020",3
"April 8, 2020",15
"April 8, 2020",14
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",5
"April 8, 2020",4
"April 8, 2020",0
"April 8, 2020",0
"April 8, 2020",0
"April 9, 2020",2
"April 9, 2020",0
"April 9, 2020",6
"April 9, 2020",0
"April 9, 2020",1
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",2
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",8
"April 9, 2020",0
"April 9, 2020",4
"April 9, 2020",7
"April 9, 2020",2
"April 9, 2020",14
"April 9, 2020",1
"April 9, 2020",0
"April 9, 2020",16
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",4
"April 9, 2020",3
"April 9, 2020",0
"April 9, 2020",0
"April 9, 2020",0
"April 10, 2020",1
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",6
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",1
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",8
"April 10, 2020",1
"April 10, 2020",0
"April 10, 2020",3
"April 10, 2020",8
"April 10, 2020",3
"April 10, 2020",15
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",1
"April 10, 2020",14
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",3
"April 10, 2020",3
"April 10, 2020",0
"April 10, 2020",0
"April 10, 2020",0
"April 11, 2020",8
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",1
"April 11, 2020",5
"April 11, 2020",0
"April 11, 2020",5
"April 11, 2020",5
"April 11, 2020",2
"April 11, 2020",13
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",1
"April 11, 2020",1
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",13
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",1
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",3
"April 11, 2020",3
"April 11, 2020",0
"April 11, 2020",0
"April 11, 2020",0
"April 12, 2020",4
"April 12, 2020",1
"April 12, 2020",1
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",1
"April 12, 2020",1
"April 12, 2020",7
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",5
"April 12, 2020",6
"April 12, 2020",2
"April 12, 2020",12
"April 12, 2020",0
"April 12, 2020",16
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",1
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",4
"April 12, 2020",2
"April 12, 2020",0
"April 12, 2020",0
"April 12, 2020",0
"April 13, 2020",3
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",13
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",9
"April 13, 2020",3
"April 13, 2020",1
"April 13, 2020",1
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",5
"April 13, 2020",8
"April 13, 2020",2
"April 13, 2020",7
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",4
"April 13, 2020",1
"April 13, 2020",0
"April 13, 2020",0
"April 13, 2020",0
"April 14, 2020",7
"April 14, 2020",0
"April 14, 2020",1
"April 14, 2020",1
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",1
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",8
"April 14, 2020",1
"April 14, 2020",0
"April 14, 2020",2
"April 14, 2020",0
"April 14, 2020",7
"April 14, 2020",3
"April 14, 2020",4
"April 14, 2020",6
"April 14, 2020",5
"April 14, 2020",1
"April 14, 2020",0
"April 14, 2020",1
"April 14, 2020",7
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",3
"April 14, 2020",1
"April 14, 2020",0
"April 14, 2020",0
"April 14, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",9
"April 15, 2020",1
"April 15, 2020",1
"April 15, 2020",0
"April 15, 2020",7
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",9
"April 15, 2020",0
"April 15, 2020",0
