Raw data downloaded from https://open-fdoh.hub.arcgis.com/datasets/a91ca3832bd448a2a1b1bedad199ba2b/data?page=12,,,,,,,[1] Reversed date and calculated cumulative positives and totals,,,,,,[2 Added missing dates to time series,,,,,,FL,,,,CTP,,,CTP,,
ObjectId,Date,Negative,Positive,Total,PercentPositive,,Date,Positive,Total,Cumulative Positive,Cumulative Total,,Date,Cumulative Total,Cumulative Positive,,,,Total Tests PCR,pos+neg,Percent Diff,Number Diff,Total Tests (PCR),Percent Diff,Number Diff,Total Tests PCR (People),Percent Diff,Number Diff
1146,7/26/2020 5:00,66528,8804,75332,11.69,,5/22/2020 5:00,733,25853,48550,866920,,5/22/2020 5:00,"866,920",48550,,,,"866,920","856,437",1.22%,"10,483","990,300",-12.46%,"-123,380","858,112",1.03%,"8,808"
1147,7/27/2020 5:00,67276,9138,76414,11.96,,5/21/2020 5:00,725,23841,47817,841067,,5/21/2020 5:00,"841,067",47817,,,,"841,067","835,496",0.67%,"5,571","940,758",-10.60%,"-99,691","837,172",0.47%,"3,895"
1148,7/28/2020 5:00,65201,9320,74521,12.51,,5/20/2020 5:00,1190,45203,47092,817226,,5/20/2020 5:00,"817,226",47092,,,,"817,226","813,929",0.41%,"3,297","940,758",-13.13%,"-123,532","815,584",0.20%,"1,642"
1149,7/29/2020 5:00,70281,9835,80116,12.28,,5/19/2020 5:00,475,71322,45902,772023,,5/19/2020 5:00,"772,023",45902,,,,"772,023","771,348",0.09%,675,"887,380",-13.00%,"-115,357","772,669",-0.08%,-646
1150,7/30/2020 5:00,73302,8900,82202,10.83,,5/18/2020 5:00,612,30481,45427,700701,,5/18/2020 5:00,"700,701",45427,,,,"700,701","715,855",-2.12%,"-15,154","819,927",-14.54%,"-119,226","717,162",-2.30%,"-16,461"
1151,7/31/2020 5:00,74953,9502,84455,11.25,,5/17/2020 5:00,654,19312,44815,670220,,5/17/2020 5:00,"670,220",44815,,,,"670,220","676,412",-0.92%,"-6,192","746,124",-10.17%,"-75,904","677,710",-1.11%,"-7,490"
1152,8/1/2020 5:00,67276,7056,74332,9.49,,5/16/2020 5:00,1136,21549,44161,650908,,5/16/2020 5:00,"650,908",44161,,,,"650,908","651,792",-0.14%,-884,"746,124",-12.76%,"-95,216","653,081",-0.33%,"-2,173"
1153,8/2/2020 5:00,47099,4814,51913,9.27,,5/15/2020 5:00,480,6606,43025,629359,,5/15/2020 5:00,"629,359",43025,,,,"629,359","630,047",-0.11%,-688,,,,"630,795",-0.23%,"-1,436"
1154,8/3/2020 5:00,43034,5357,48391,11.07,,5/14/2020 5:00,786,15534,42545,622753,,5/14/2020 5:00,"622,753",42545,,,,"622,753","608,837",2.29%,"13,916",,,,"609,574",2.16%,"13,179"
1155,8/4/2020 5:00,43523,5424,48947,11.08,,5/13/2020 5:00,792,15700,41759,607219,,5/13/2020 5:00,"607,219",41759,,,,"607,219","608,837",-0.27%,"-1,618",,,,"595,478",1.97%,"11,741"
