Raw data downloaded from https://open-fdoh.hub.arcgis.com/datasets/a91ca3832bd448a2a1b1bedad199ba2b/data?page=12,,,,,,,[1] Reversed date and calculated cumulative positives and totals,,,,,,[2 Added missing dates to time series,,,,,,FL,,,,CTP,,,CTP,,
ObjectId,Date,Negative,Positive,Total,PercentPositive,,Date,Positive,Total,Cumulative Positive,Cumulative Total,,Date,Cumulative Total,Cumulative Positive,,,,Total Tests PCR,pos+neg,Percent Diff,Number Diff,Total Tests (PCR),Percent Diff,Number Diff,Total Tests PCR (People),Percent Diff,Number Diff
1168,8/17/2020 5:00,44364,3864,48228,8.01,,4/30/2020 5:00,977,18225,33506,396464,,4/30/2020 5:00,"396,464",33506,,,,"396,464","402,699",-1.55%,"-6,235",,,,,,
1169,8/18/2020 5:00,53708,4118,57826,7.12,,4/29/2020 5:00,514,9670,32529,378239,,4/29/2020 5:00,"378,239",32529,,,,"378,239","382,405",-1.09%,"-4,166",,,,,,
1170,8/19/2020 5:00,61696,4536,66232,6.85,,4/28/2020 5:00,343,7013,32015,368569,,4/28/2020 5:00,"368,569",32015,,,,"368,569","373,488",-1.32%,"-4,919",,,,,,
1171,8/20/2020 5:00,62754,4630,67384,6.87,,4/27/2020 5:00,748,11763,31672,361556,,4/27/2020 5:00,"361,556",31672,,,,"361,556","366,875",-1.45%,"-5,319",,,,,,
1172,8/21/2020 5:00,80796,4300,85096,5.05,,4/26/2020 5:00,519,8877,30924,349793,,4/26/2020 5:00,"349,793",30924,,,,"349,793","356,463",-1.87%,"-6,670",,,,,,
1173,8/22/2020 5:00,49381,2999,52380,5.73,,4/25/2020 5:00,795,16900,30405,340916,,4/25/2020 5:00,"340,916",30405,,,,"340,916","344,613",-1.07%,"-3,697",,,,,,
1174,8/23/2020 5:00,37118,2045,39163,5.22,,4/24/2020 5:00,734,13407,29610,324016,,4/24/2020 5:00,"324,016",29610,,,,"324,016","333,099",-2.73%,"-9,083",,,,,,
1175,8/24/2020 5:00,33505,2728,36233,7.53,,4/23/2020 5:00,1214,18611,28876,310609,,4/23/2020 5:00,"310,609",28876,,,,"310,609","316,959",-2.00%,"-6,350",,,,,,
1176,8/25/2020 5:00,53271,3249,56520,5.75,,4/22/2020 5:00,697,11064,27662,291998,,4/22/2020 5:00,"291,998",27662,,,,"291,998","296,708",-1.59%,"-4,710",,,,,,
1177,8/26/2020 5:00,47482,3170,50652,6.26,,4/21/2020 5:00,859,12234,26965,280934,,4/21/2020 5:00,"280,934",26965,,,,"280,934","288,627",-2.67%,"-7,693",,,,,,
1178,8/27/2020 5:00,61694,3570,65264,5.47,,4/20/2020 5:00,746,10579,26106,268700,,4/20/2020 5:00,"268,700",26106,,,,"268,700","277,059",-3.02%,"-8,359",,,,,,
1179,8/28/2020 5:00,59824,3102,62926,4.93,,4/19/2020 5:00,713,9218,25360,258121,,4/19/2020 5:00,"258,121",25360,,,,"258,121","266,225",-3.04%,"-8,104",,,,,,
1180,8/29/2020 5:00,49286,2604,51890,5.02,,4/18/2020 5:00,741,9158,24647,248903,,4/18/2020 5:00,"248,903",24647,,,,"248,903","256,079",-2.80%,"-7,176",,,,,,
1181,8/30/2020 5:00,31871,1682,33553,5.01,,4/17/2020 5:00,1083,12795,23906,239745,,4/17/2020 5:00,"239,745",23906,,,,"239,745","246,527",-2.75%,"-6,782",,,,,,
1182,8/31/2020 5:00,102874,7416,110290,6.72,,4/16/2020 5:00,1199,15461,22823,226950,,4/16/2020 5:00,"226,950",22823,,,,"226,950","234,837",-3.36%,"-7,887",,,,,,
1183,9/1/2020 5:00,41520,2496,44016,5.67,,4/15/2020 5:00,897,9625,21624,211489,,4/15/2020 5:00,"211,489",21624,,,,"211,489","219,248",-3.54%,"-7,759",,,,,,
1184,9/2/2020 5:00,53831,3586,57417,6.25,,4/14/2020 5:00,592,6421,20727,201864,,4/14/2020 5:00,"201,864",20727,,,,"201,864","213,509",-5.45%,"-11,645",,,,,,
1185,9/3/2020 5:00,59278,3211,62489,5.14,,4/13/2020 5:00,922,8691,20135,195443,,4/13/2020 5:00,"195,443",20135,,,,"195,443","203,180",-3.81%,"-7,737",,,,,,
1186,9/4/2020 5:00,57825,3673,61498,5.97,,4/12/2020 5:00,809,8697,19213,186752,,4/12/2020 5:00,"186,752",19213,,,,"186,752","196,207",-4.82%,"-9,455",,,,,,
1187,9/5/2020 5:00,47499,2468,49967,4.94,,4/11/2020 5:00,1064,11251,18404,178055,,4/11/2020 5:00,"178,055",18404,,,,"178,055","182,753",-2.57%,"-4,698",,,,,,
1188,9/6/2020 5:00,38926,1868,40794,4.58,,4/10/2020 5:00,1088,9442,17340,166804,,4/10/2020 5:00,"166,804",17340,,,,"166,804","172,933",-3.54%,"-6,129",,,,,,
1189,9/7/2020 5:00,34534,1800,36334,4.95,,4/9/2020 5:00,1033,14011,16252,157362,,4/9/2020 5:00,"157,362",16252,,,,"157,362","162,830",-3.36%,"-5,468",,,,,,
1190,9/8/2020 5:00,36549,2325,38874,5.98,,4/8/2020 5:00,1046,6493,15219,143351,,4/8/2020 5:00,"143,351",15219,,,,"143,351","152,549",-6.03%,"-9,198",,,,,,
1191,9/9/2020 5:00,43308,2529,45837,5.52,,4/7/2020 5:00,1006,11510,14173,136858,,4/7/2020 5:00,"136,858",14173,,,,"136,858","143,134",-4.38%,"-6,276",,,,,,
1192,9/10/2020 5:00,62486,3650,66136,5.52,,4/6/2020 5:00,1159,11063,13167,125348,,4/6/2020 5:00,"125,348",13167,,,,"125,348","138,162",-9.27%,"-12,814",,,,,,
1193,9/11/2020 5:00,68196,3159,71355,4.43,,4/5/2020 5:00,763,7018,12008,114285,,4/5/2020 5:00,"114,285",12008,,,,"114,285","123,274",-7.29%,"-8,989",,,,,,
1194,9/12/2020 5:00,53668,2374,56042,4.24,,4/4/2020 5:00,1148,12143,11245,107267,,4/4/2020 5:00,"107,267",11245,,,,"107,267","113,404",-5.41%,"-6,137",,,,,,
1195,9/13/2020 5:00,44253,1778,46031,3.86,,4/3/2020 5:00,1281,10738,10097,95124,,4/3/2020 5:00,"95,124",10097,,,,"95,124","102,067",-6.80%,"-6,943",,,,,,
1196,9/14/2020 5:00,60447,2649,63096,4.2,,4/2/2020 5:00,1268,12683,8816,84386,,4/2/2020 5:00,"84,386",8816,,,,"84,386","91,722",-8.00%,"-7,336",,,,,,
1197,9/15/2020 5:00,49272,2301,51573,4.46,,4/1/2020 5:00,1032,8444,7548,71703,,4/1/2020 5:00,"71,703",7548,,,,"71,703","77,296",-7.24%,"-5,593",,,,,,
1198,9/16/2020 5:00,69938,3265,73203,4.46,,3/31/2020 5:00,904,8213,6516,63259,,3/31/2020 5:00,"63,259",6516,,,,"63,259","66,484",-4.85%,"-3,225",,,,,,
1199,9/17/2020 5:00,72955,3187,76142,4.19,,3/30/2020 5:00,852,6927,5612,55046,,3/30/2020 5:00,"55,046",5612,,,,"55,046","60,623",-9.20%,"-5,577",,,,,,
1200,9/18/2020 5:00,74666,3554,78220,4.54,,3/29/2020 5:00,876,7137,4760,48119,,3/29/2020 5:00,"48,119",4760,,,,"48,119","53,698",-10.39%,"-5,579",,,,,,
1201,9/19/2020 5:00,50977,2497,53474,4.67,,3/28/2020 5:00,705,6375,3884,40982,,3/28/2020 5:00,"40,982",3884,,,,"40,982","43,316",-5.39%,"-2,334",,,,,,
1202,9/20/2020 5:00,36626,1654,38280,4.32,,3/27/2020 5:00,659,6244,3179,34607,,3/27/2020 5:00,"34,607",3179,,,,"34,607","39,129",-11.56%,"-4,522",,,,,,
1203,9/21/2020 5:00,38134,2388,40522,5.89,,3/26/2020 5:00,535,5626,2520,28363,,3/26/2020 5:00,"28,363",2520,,,,"28,363","30,951",-8.36%,"-2,588",,,,,,
1204,9/22/2020 5:00,46335,2591,48926,5.3,,3/25/2020 5:00,497,6902,1985,22737,,3/25/2020 5:00,"22,737",1985,,,,"22,737","26,096",-12.87%,"-3,359",,,,,,
1205,9/23/2020 5:00,55506,2590,58096,4.46,,3/24/2020 5:00,283,2881,1488,15835,,3/24/2020 5:00,"15,835",1488,,,,"15,835","17,056",-7.16%,"-1,221",,,,,,
1206,9/24/2020 5:00,62808,2807,65615,4.28,,3/23/2020 5:00,176,1670,1205,12954,,3/23/2020 5:00,"12,954",1205,,,,"12,954","14,539",-10.90%,"-1,585",,,,,,
1207,9/25/2020 5:00,63674,2766,66440,4.16,,3/22/2020 5:00,298,2797,1029,11284,,3/22/2020 5:00,"11,284",1029,,,,"11,284","12,234",-7.77%,-950,,,,,,
1208,9/26/2020 5:00,43427,1841,45268,4.07,,3/21/2020 5:00,203,2295,731,8487,,3/21/2020 5:00,"8,487",731,,,,"8,487","8,820",-3.78%,-333,,,,,,
1209,9/27/2020 5:00,18196,808,19004,4.25,,3/20/2020 5:00,142,1419,528,6192,,3/20/2020 5:00,"6,192",528,,,,"6,192","7,237",-14.44%,"-1,045",,,,,,
1210,9/28/2020 5:00,61038,3184,64222,4.96,,3/19/2020 5:00,76,1102,386,4773,,3/19/2020 5:00,"4,773",386,,,,"4,773","2,390",99.71%,"2,383",,,,,,
1211,9/29/2020 5:00,38675,2052,40727,5.04,,3/18/2020 5:00,99,1055,310,3671,,3/18/2020 5:00,"3,671",310,,,,"3,671","1,923",90.90%,"1,748",,,,,,
1212,9/30/2020 5:00,57108,2798,59906,4.67,,3/17/2020 5:00,62,704,211,2616,,3/17/2020 5:00,"2,616",211,,,,"2,616","1,539",69.98%,"1,077",,,,,,
1213,10/1/2020 5:00,67949,2664,70613,3.77,,3/16/2020 5:00,27,591,149,1912,,3/16/2020 5:00,"1,912",149,,,,"1,912","1,126",69.80%,786,,,,,,
1214,10/2/2020 5:00,55478,2772,58250,4.76,,3/15/2020 5:00,31,181,122,1321,,3/15/2020 5:00,"1,321",122,,,,"1,321",825,60.12%,496,,,,,,
1215,10/3/2020 5:00,47573,1857,49430,3.76,,3/14/2020 5:00,40,436,91,1140,,3/14/2020 5:00,"1,140",91,,,,"1,140",794,43.58%,346,,,,,,
1216,10/4/2020 5:00,33984,1381,35365,3.9,,3/13/2020 5:00,20,199,51,704,,3/13/2020 5:00,704,51,,,,704,555,26.85%,149,,,,,,
1217,10/5/2020 5:00,40732,2261,42993,5.26,,3/12/2020 5:00,5,118,31,505,,3/12/2020 5:00,505,31,,,,505,528,-4.36%,-23,,,,,,
1218,10/6/2020 5:00,58324,2500,60824,4.11,,3/11/2020 5:00,6,53,26,387,,3/11/2020 5:00,387,26,,,,387,333,16.22%,54,,,,,,
1219,10/7/2020 5:00,68149,3262,71411,4.57,,3/10/2020 5:00,2,71,20,334,,3/10/2020 5:00,334,20,,,,334,329,1.52%,5,,,,,,
1220,10/8/2020 5:00,66776,2866,69642,4.12,,3/9/2020 5:00,5,84,18,263,,3/9/2020 5:00,263,18,,,,263,241,9.13%,22,,,,,,
1221,10/9/2020 5:00,20744,1779,22523,7.9,,3/8/2020 5:00,1,36,13,179,,3/8/2020 5:00,179,13,,,,179,158,13.29%,21,,,,,,
1222,10/10/2020 5:00,102168,3636,105804,3.44,,3/7/2020 5:00,4,27,12,143,,3/7/2020 5:00,143,12,,,,143,135,5.93%,8,,,,,,
1223,10/11/2020 5:00,35238,1564,36802,4.25,,3/6/2020 5:00,0,48,8,116,,3/6/2020 5:00,116,8,,,,116,114,1.75%,2,,,,,,
1224,10/12/2020 5:00,51100,2679,53779,4.98,,3/5/2020 5:00,1,27,8,68,,3/5/2020 5:00,68,8,,,,68,64,6.25%,4,,,,,,
1225,10/13/2020 5:00,49779,2836,52615,5.39,0.05390097881,3/4/2020 5:00,4,19,7,41,,3/4/2020 5:00,41,7,,,,41,40,2.50%,1,,,,,,
1226,10/14/2020 5:00,60297,3288,63585,5.17,0.05171030904,3/3/2020 5:00,1,3,3,22,,3/3/2020 5:00,22,3,,,,22,26,-15.38%,-4,,,,,,
1227,10/15/2020 5:00,74266,3380,77646,4.35,0.04353089663,3/2/2020 5:00,2,4,2,19,,3/2/2020 5:00,19,2,,,,19,,,19,,,,,,
1228,10/16/2020 5:00,72825,3982,76807,5.18,0.05184423295,2/24/2020 5:00,0,1,0,15,,3/1/2020 5:00,15,0,,,,15,,,15,,,,,,
1229,10/17/2020 5:00,50650,2464,53114,4.64,0.04639078209,2/21/2020 5:00,0,1,0,14,,2/29/2020 5:00,15,0,,,,14,,,14,,,,,,
1230,10/18/2020 5:00,34319,1745,36064,4.84,0.04838620231,2/16/2020 5:00,0,1,0,13,,2/28/2020 5:00,15,0,,,,13,,,13,,,,,,
1231,10/19/2020 5:00,54715,3587,58302,6.15,0.061524476,2/14/2020 5:00,0,3,0,12,,2/27/2020 5:00,15,0,,,,12,,,12,,,,,,
1232,10/20/2020 5:00,29759,2142,31901,6.71,0.06714523056,2/12/2020 5:00,0,1,0,9,,2/26/2020 5:00,15,0,,,,9,,,9,,,,,,
1233,10/21/2020 5:00,91915,5441,97356,5.59,0.05588766999,2/10/2020 5:00,0,1,0,8,,2/25/2020 5:00,15,0,,,,8,,,8,,,,,,
1234,10/22/2020 5:00,89110,3702,92812,3.99,0.03988708357,2/7/2020 5:00,0,1,0,7,,2/24/2020 5:00,15,0,,,,7,,,7,,,,,,
1235,10/23/2020 5:00,116074,4409,120483,3.66,0.03659437431,2/3/2020 5:00,0,2,0,6,,2/23/2020 5:00,14,0,,,,6,,,6,,,,,,
1236,10/24/2020 5:00,47851,2364,50215,4.71,0.04707756646,1/30/2020 5:00,0,3,0,4,,2/22/2020 5:00,14,0,,,,4,,,4,,,,,,
1237,10/25/2020 5:00,53199,3361,56560,5.94,0.05942362093,1/28/2020 5:00,0,1,0,1,,2/21/2020 5:00,14,0,,,,1,,,1,,,,,,
,,,,,,,,,,,,,2/20/2020 5:00,13,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/19/2020 5:00,13,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/18/2020 5:00,13,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/17/2020 5:00,13,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/16/2020 5:00,13,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/15/2020 5:00,12,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/14/2020 5:00,12,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/13/2020 5:00,9,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/12/2020 5:00,9,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/11/2020 5:00,8,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/10/2020 5:00,8,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/9/2020 5:00,7,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/8/2020 5:00,7,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/7/2020 5:00,7,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/6/2020 5:00,6,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/5/2020 5:00,6,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/4/2020 5:00,6,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/3/2020 5:00,6,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/2/2020 5:00,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,2/1/2020 5:00,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,1/31/2020 5:00,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,1/30/2020 5:00,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,1/29/2020 5:00,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,1/28/2020 5:00,1,0,,,,,,,,,,,,,
